type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
全栈工程师,node.js高级全栈开发工程师,北京,100-150元/时,3-5年本科,拼室友,大数据A轮20-99人,全栈 Node.js JavaScript/TypeScript Vue/Angular/React Node.js开发经验 计算机/软件工程相关专业 英语读写能力良好, 任女士,补充医疗保险，五险一金，定期体检，带薪年假，股票期权，年终奖，员工旅游，节日福利，零食下午茶
全栈工程师,全栈工程师,上海·浦东新区·唐镇,15-20K·13薪,3-5年本科,和家集团,食品/饮料/烟酒未融资100-499人,架构师 后端开发, 金先生,员工旅游，全勤奖，年终奖，零食下午茶，五险一金，带薪年假
全栈工程师,全栈工程师,梅州·梅县区·新城,6-8K,3-5年本科,恒睿文化,互联网未融资20-99人,全栈开发, 朱女士,全勤奖，团建活动，社保，加班补助，零食下午茶
全栈工程师,全栈工程师（实习）,北京·东城区·朝阳门,200-300元/天,3-5年本科,璞元科技,计算机软件天使轮20-99人,后端 机器学习/算法工程 Python 计算机相关专业 全栈开发经验 javascript Linux开发经验, 贺先生,年终奖，生日福利，带薪年假，节日福利，零食下午茶，五险一金，AI技术分享，免费工作餐
全栈工程师,全栈工程师（机器学习方向）,重庆·南岸区·长生桥,10-15K,3-5年本科,末未科技,移动互联网未融资20-99人,深度学习 大模型算法 自然语言处理算法 Python Java Golang 算法工程化经验, 林女士, 
全栈工程师,全栈工程师（技术合伙人）,西安·雁塔区·丈八,4-7K,3-5年本科,陕西郎峰科技有限公司,互联网0-20人,Vue JavaScript Java 计算机/软件工程相关专业, 石先生, 
全栈工程师,Ai全栈工程师（Gpt4专家）,济南·槐荫区·西客站,12-20K,3-5年本科,智未来,互联网天使轮20-99人,算法工程化经验 大模型算法 强化学习 优秀开源项目经历 数据挖掘 Python, 尹先生,加班补助，住房补贴，包住，生日福利，夜班补助，五险一金，底薪加提成，团建聚餐，全勤奖，工龄奖，年终奖，企业年金，保底工资，带薪年假，员工旅游，股票期权，节假日加班费，绩效奖金
全栈工程师,全栈软件开发工程师,深圳·南山区·科技园,25-30K,3-5年本科,天朗时代MPR,互联网未融资20-99人,全栈无侧重 Java C/C++ 后端开发经验 前端开发经验 全栈项目经验, 覃女士,交通补助，团建聚餐，员工旅游，工龄奖，定期体检，一档医保
全栈工程师,全栈式工程师,福州·闽侯县·正荣财富,10-15K·13薪,3-5年本科,桦智工程,化工天使轮20-99人,CSS 全栈开发 后端开发 Spring SpringMVC Oracle MySQL, 叶女士,绩效奖金，团建聚餐，零食下午茶，生日福利，意外险，交通补助，节日福利，加班补助，年终奖，夜班补助，通讯补贴，员工旅游，定期体检，带薪年假，餐补，股票期权，五险一金，补充医疗保险，工龄奖，员工活动
全栈工程师,全栈高级开发工程师,广州·增城区·朱村,15-20K,3-5年本科,广州瑞丰生物科技,农/林/牧/渔未融资100-499人,Java 全栈开发 前端开发 React Bootstrap NoSQL MySQL Redis, 李女士,加班补助，员工旅游，定期体检，全勤奖，节日福利，五险一金
