type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
UI设计师,UI设计师,北京·海淀区·知春路,6-11K,经验不限学历不限,笨手机,游戏未融资20-99人,界面设计, 白先生, 
UI设计师,ui设计师,武汉·武昌区·沙湖,7-10K,经验不限学历不限,搜狐焦点海外,电子商务未融资20-99人,交互设计 原型设计 视觉设计 移动端 网页端, 温女士,节日福利，带薪年假，全勤奖，绩效奖金，年终奖，保底工资，团建聚餐，餐补
UI设计师,UI设计师,惠州·惠城区·江北,4-6K,经验不限学历不限,众创动力,计算机软件A轮20-99人,UI设计 视觉设计 PhotoShop CorelDRAW AE Fireworks 3DMax CAD, 温先生,节日福利，零食下午茶，全勤奖，工龄奖，五险一金
UI设计师,ui设计师,北京·丰台区·马家堡,6-9K,经验不限学历不限,融讯伟业,移动互联网A轮20-99人,不接受居家办公 界面设计 PS 交互设计 AI 切图和标注 平面设计 图标设计 视觉设计 原型设计 移动端 Sketch 网页端 客户端, 刘先生,股票期权，五险一金，带薪年假，生日福利，团建聚餐
UI设计师,UI设计师,北京·海淀区·魏公村,6-10K,1-3年大专,北京地球城,电子商务不需要融资20-99人,UI, 柳女士,带薪年假，节日福利，五险一金
UI设计师,UI设计师,北京·朝阳区·望京,10-15K,1-3年大专,百度,互联网已上市10000人以上,视觉设计 移动端 图标设计 切图和标注 界面设计 PS AE, 倪女士,餐补，住房补贴，免费班车，加班补助，通讯补贴，交通补助，带薪年假，五险一金，节日福利，补充医疗保险，年终奖，娱乐健身，员工旅游，定期体检，零食下午茶
UI设计师,UI设计师,济南·历下区·工业南路,5-10K·14薪,1-3年大专,先森科技,移动互联网A轮20-99人,平面设计 美工 UI, 刘先生,交通补助，全勤奖，节日福利，生日福利，团建聚餐，住房补贴，员工旅游，年终奖，有无线网，包住，宿舍有空调，餐补，带薪年假，股票期权，免费班车，定期体检，五险一金
UI设计师,ui设计师,南昌·红谷滩区·红谷滩,5-7K,1-3年大专,微轲联,计算机软件未融资100-499人,平面设计 界面设计 C4d PS AE, 李女士,五险一金，年终奖，带薪年假，包吃
UI设计师,ui设计师,北京·海淀区·上地,6-11K·13薪,1-3年大专,微博,互联网已上市1000-9999人,界面设计 不接受居家办公 PS 交互设计 AI 切图和标注 HTML 平面设计 图标设计 视觉设计 原型设计 移动端 客户端, 牟女士,免费班车，餐补，年终奖，节日福利，五险一金，补充医疗保险，带薪年假，定期体检
UI设计师,UI设计师,西安·雁塔区·电子城,6-10K,1-3年大专,盛元广通,计算机软件未融资20-99人,移动端 PC端 PhotoShop 交互体验设计 网页设计 平面设计, 黄女士,五险一金，全勤奖，节日福利
UI设计师,UI设计师,天津,3-8K,1-3年大专,智橙科技,计算机软件不需要融资20-99人,视觉设计 客户端 移动端 网页端 平面设计 图标设计 切图和标注 界面设计 AI PS Xd 不接受居家办公 游戏设计 UI设计 PhotoShop 全职兼职均可 游戏 PC端, 任女士,交通补助，住房补贴，全勤奖，绩效奖金，五险一金
UI设计师,ui设计师,珠海·香洲区·新香洲,6-11K,1-3年大专,朋奇科技,信息安全不需要融资20-99人,交互设计 原型设计 移动端 网页端 界面设计 figma, 苏女士,零食下午茶，年终奖，交通补助，节日福利，带薪年假，员工旅游，五险一金，定期体检
UI设计师,UI设计师主管,沈阳·沈河区·北站,4-8K,1-3年大专,喵喵疯了,社交网络天使轮0-20人,UE设计 动效设计 交互设计, 范先生,带薪年假，生日会，年终奖，员工旅游，五险一金，餐补
UI设计师,[外包]UI设计师,南京·玄武区·徐庄软件园,15-25K,1-3年大专,麦当劳南京研发中心,计算机软件不需要融资100-499人,视觉设计 不接受居家办公 界面设计 动效设计 AE 交互设计 移动端 Sketch 网页端, 喻先生,补充医疗保险，交通补助，节日福利，员工旅游，通讯补贴，股票期权，年终奖，五险一金，零食下午茶，定期体检，带薪年假
UI设计师,UI设计师,北京·朝阳区·善各庄,30-60K,1-3年大专,美团,互联网已上市10000人以上,视觉设计 移动端 网页端 图标设计 界面设计, 齐女士,宿舍有空调
UI设计师,ui设计师,贵阳·观山湖区·中天会展城B区,6-7K,1-3年大专,博睿科讯,企业服务未融资0-20人,交互设计 视觉设计 网页端, 曾女士,定期体检，五险一金，年终奖
UI设计师,ui设计师,扬州·邗江区·京华城,5-6K,1-3年大专,寒武纪,电子商务未融资0-20人,交互设计 视觉设计 客户端 网页端 图标设计 切图和标注 界面设计, 唐先生,五险一金，定期体检，带薪年假，节日福利，年终奖，加班补助，员工旅游
UI设计师,UI设计师 周末双休 学信网 年终奖,佛山·顺德区·北滘,13-15K,1-3年大专,亿达信息,计算机软件不需要融资1000-9999人,交互设计 PS Sketch AE UI 智能产品 产品, 李女士,五险一金，补充医疗保险，带薪年假，节日福利，定期体检，加班补助
UI设计师,ui设计师（车载）,惠州·惠城区·仲恺,7-10K,1-3年大专,法本,计算机软件已上市10000人以上,移动端 平面设计 界面设计 图标设计 AE SketchUp, 章先生,定期体检，加班补助，零食下午茶，五险一金，带薪年假，企业文化，员工旅游，节日福利
UI设计师,资深ui设计师,德阳·旌阳区·玉泉路,5-8K,1-3年大专,德阳左岸芯慧,互联网20-99人,交互设计 视觉设计 客户端 移动端 三维设计 动效设计 图标设计 切图和标注 界面设计 AI HTML SketchUp, 钱女士,年终奖，五险一金，意外险，定期体检，补充医疗保险
UI设计师,产品UI设计师,太原·小店区·坞城路,6-10K,1-3年大专,科辉荣盛网络科技,大数据未融资20-99人,交互设计 原型设计 视觉设计 客户端 移动端 网页端 平面设计 界面设计 切图和标注 PS AI, 宋先生,绩效奖金，全勤奖，节日福利，通讯补贴，交通补助，团建聚餐，年终奖，餐补，带薪年假，夜班补助，五险一金
UI设计师,资深ui设计师,武汉·洪山区·关山,8-13K·13薪,1-3年大专,爱道格,计算机软件不需要融资20-99人,交互设计 视觉设计 客户端 游戏端 动效设计 平面设计 界面设计 Xd Sketch C4d 不接受居家办公, 马先生,节日福利，团建聚餐，年终奖，五险一金
UI设计师,月入6000+UI设计师,烟台,5-10K,1-3年大专,赛肯互娱,互联网未融资20-99人,交互设计 网页端 平面设计 界面设计 AI, 张女士,零食下午茶，工龄奖，底薪加提成，夜班补助，团建聚餐，节假日加班费，年终奖，员工旅游，节日福利，交通补助，加班补助，五险一金，带薪年假，保底工资，绩效奖金，生日福利
UI设计师,资深ui设计师,北京·朝阳区·朝外,15-30K,1-3年大专,荷鱼(北京)科技,计算机软件0-20人,视觉设计 交互设计 移动端 网页端, 刘女士, 
UI设计师,UI设计,宁波·镇海区·庄市,6-10K,1-3年大专,姜太公股份,互联网不需要融资100-499人,交互设计 原型设计 移动端 网页端 客户端 平面设计 界面设计 图标设计 AI CDR PS, 张女士,交通补助，带薪年假，零食下午茶，通讯补贴，高温补贴，五险一金，全勤奖，节日福利，团建聚餐，年终奖，餐补，员工旅游，工龄奖，绩效奖金，补充医疗保险，底薪加提成，生日福利，股票期权，住房补贴，定期体检
UI设计师,UI设计,昆明·官渡区·经济技术开发区,4-8K,1-3年大专,美捷科技集团,互联网天使轮20-99人,视觉设计 交互设计 网页端 移动端 客户端 平面设计 动效设计 界面设计 图标设计 切图和标注 PS Axure CDR Figma/Sketch HTML/CSS UI界面平面前端文案, 龚女士,通讯补贴，补充医疗保险，股票期权，带薪年假，年终奖，员工旅游，节日福利，餐补，交通补助，零食下午茶
UI设计师,UI设计,佛山·禅城区·祖庙,4-6K,1-3年大专,广润科技,互联网不需要融资100-499人,交互设计 移动端 网页端 UI 平面设计 广告设计, 江女士,年终奖，保底工资，住房补贴，宿舍有空调，带薪年假，团建聚餐，节日福利，零食下午茶，五险一金，工龄奖，包住，员工旅游，绩效奖金，底薪加提成
UI设计师,UI设计,西安·莲湖区·土门,6-8K,1-3年大专,西咸新区大洋通信...,计算机软件未融资20-99人,交互设计 原型设计 视觉设计 客户端 移动端 网页端 平面设计 图标设计 切图和标注 HTML, 杨先生,五险一金，加班补助，年终奖，带薪年假
UI设计师,UI设计(兼职),郑州·二七区·万客来,3-6K,1-3年大专,快都科技,企业服务20-99人,HTML 小程序 交互体验设计 网页设计, 张先生, 
UI设计师,ui设计,兰州·城关区·西关十字,3-8K,1-3年大专,大恒集团,房地产中介/租赁不需要融资20-99人,视觉设计 交互设计 客户端 网页端 移动端 AI PS UE4, 罗先生,定期体检，通讯补贴，零食下午茶，带薪年假，五险一金，全勤奖，员工旅游，年终奖，交通补助，餐补，节日福利
UI设计师,ui设计,哈尔滨·香坊区·东北农业大学,50-400元/天,1-3年大专,哈尔滨正君科技有...,互联网0-20人,交互设计 原型设计 移动端 网页端 动效设计 平面设计 图标设计 切图和标注 界面设计 HTML SketchUp AE, 李先生, 
UI设计师,UI设计实习生,北京·海淀区·中关村,150-200元/天,1-3年大专,搜狐媒体,互联网已上市1000-9999人,提供实习证明 视觉设计 不接受居家办公 界面设计 动效设计 PS 交互设计 移动端 AI Sketch 平面设计 网页端, 宋女士,节日福利，定期体检，补充医疗保险，生日福利，餐补，带薪年假，通讯补贴，交通补助，年终奖，加班补助，绩效奖金，五险一金
UI设计师,UI设计/平面设计,合肥·包河区·工业园,3-6K,1-3年大专,铭诚网络科技,计算机软件未融资20-99人,小程序 平面设计, 宋先生,全勤奖，节日福利，加班补助，五险一金，年终奖，员工旅游
UI设计师,ui设计实习生,沈阳·浑南区·白塔,2-4K,1-3年大专,麟龙科技股份,互联网金融B轮1000-9999人,视觉设计 移动端 网页端 UE4 Axure SketchUp, 宋女士,保底工资，带薪年假，底薪加提成，定期体检，五险一金，免费班车，绩效奖金，节日福利，员工旅游
UI设计师,ui设计,天津·河东区·大直沽,3-5K,经验不限大专,雨恬至简,文化艺术/娱乐0-20人,交互设计 原型设计 视觉设计 移动端 动效设计 平面设计 图标设计 界面设计 AI PS C4d, 李先生, 
UI设计师,著名移动互联网公司UI设计师,重庆·渝北区·冉家坝,7-9K,经验不限大专,辉聪信息,互联网天使轮100-499人,视觉设计 UI设计 交互体验设计, 赵女士,五险一金
UI设计师,ui设计实习生,西安·碑林区·文艺路,100-200元/天,经验不限大专,即时(陕西)信息科技,移动互联网未融资20-99人,交互设计 原型设计, 李女士, 
UI设计师,UI设计实习生,北京·海淀区·西北旺,180-230元/天,经验不限大专,四维图新,互联网已上市1000-9999人,不接受居家办公 交互设计 移动端 客户端 界面设计, 袁女士,节日福利，零食下午茶，定期体检，带薪年假，股票期权，交通补助，通讯补贴，五险一金，免费班车，年终奖，餐补，补充医疗保险，员工旅游
UI设计师,UI设计制作/平面设计制作,北京·朝阳区·朝外,12-15K,经验不限大专,汲知教科集团,学前教育未融资20-99人,视觉设计 移动端 客户端 平面设计 界面设计 图标设计 PS Axure SketchUp, 李女士,五险一金，带薪年假，员工旅游，年终奖，股票期权
UI设计师,疯窝直播-UI设计,昆明·盘龙区·火车北站,4-8K,经验不限大专,疯窝科技,其他生活服务未融资20-99人,UI设计 交互体验设计 视觉设计 游戏设计, 邢先生,生日福利，团建聚餐，餐补，五险一金，年终奖，节日福利，住房补贴，通讯补贴，零食下午茶，交通补助，员工旅游，全勤奖，有无线网
UI设计师,ui设计助理,无锡·梁溪区·中山路,2-3K,经验不限大专,上海绿沈文化传媒...,计算机软件20-99人,视觉设计, 王女士, 
UI设计师,UI设计实习生,长春·朝阳区·湖西路,100-200元/天,经验不限大专,共享互联,生活服务（O2O）A轮0-20人,交互设计 视觉设计 移动端 网页端 图标设计 AI PS Sketch, 王先生,五险一金
UI设计师,UI界面设计师,东营·东营区·东城,4-6K,经验不限大专,兴旺软件,计算机软件未融资0-20人,网页设计 平面设计, 宋女士,带薪年假，零食下午茶，五险一金，全勤奖，节日福利，定期体检，通讯补贴，年终奖，员工旅游
UI设计师,UI/美工设计师,东营·东营区·东城,5-10K,经验不限大专,骏博,计算机服务未融资20-99人,不接受居家办公 界面设计 CSS 动效设计 交互设计 三维设计 切图和标注 平面设计 HTML 图标设计 Android 视觉设计 移动端 JavaScript 网页端 PC端 客户端, 邹先生,全勤奖，年终奖，五险一金
UI设计师,UI/UX 设计师,上海·杨浦区·东外滩,12-24K·13薪,经验不限大专,微杨科技,企业服务天使轮20-99人,视觉设计 不接受居家办公 原型设计 界面设计 PS 交互设计 移动端 AI Sketch 网页端, 周先生,零食下午茶，带薪年假，员工旅游，年终奖，股票期权
UI设计师,UI原型设计师,石家庄·长安区·勒泰中心,6-10K,经验不限大专,亿字节,计算机软件未融资20-99人,视觉设计 交互设计 原型设计 AI Axure PS, 刘女士,交通补助，五险一金，加班补助，年终奖，带薪年假，节日福利，员工旅游，零食下午茶，定期体检，餐补
UI设计师,高级ui设计师,北京·朝阳区·望京,18-25K,经验不限大专,嗨途科技,移动互联网0-20人,视觉设计 客户端, 贺先生, 
UI设计师,高级ui设计师,长沙·开福区·开福万达,6-8K,经验不限大专,爱玩鸭,游戏20-99人,原型设计 客户端 游戏端 移动端 三维设计 动效设计 图标设计 切图和标注 界面设计, 唐先生, 
UI设计师,UI/UX设计师,大连·甘井子区·凌水,10-15K,经验不限大专,绘玩科技,互联网A轮0-20人,游戏界面设计 交互设计 手绘, 于先生,股票期权，加班补助，节日福利，员工旅游，五险一金，不打卡，零食下午茶，带薪年假，年终奖，节日吃饺子，免费停车，补充医疗保险，定期体检，扁平化管理
UI设计师,兼职UI设计师,南京·雨花台区·铁心桥,80-100元/时,经验不限大专,南京农行者数字,互联网不需要融资100-499人,交互设计, 王先生,五险一金，定期体检，年终奖，股票期权
UI设计师,中级UI设计师,上海·普陀区·长风,15-25K·15薪,经验不限大专,波克城市,游戏不需要融资1000-9999人,卡牌/战棋 界面设计 休闲益智 PS 手机游戏 平面设计 图标设计, 刘女士,员工旅游，包吃，定期体检，五险一金，零食下午茶，团建聚餐，年终奖，节日福利，交通补助，补充医疗保险，住房补贴，带薪年假，工龄奖，生日福利
UI设计师,游戏ui设计师,西安·雁塔区·绿地世纪城,8-13K·13薪,经验不限大专,西安乐推,互联网不需要融资100-499人,交互设计 客户端 界面设计, 张女士,五险一金，定期体检，全勤奖，加班补助，年终奖，节日福利，员工旅游，交通补助，带薪年假，零食下午茶
UI设计师,高级ui设计师,北京·海淀区·苏州街,15-25K,经验不限大专,财未来,运营商/增值服务C轮20-99人,移动端 区块链 软件服务｜咨询, 李女士,五险一金，年终奖，带薪年假，餐补，交通补助，包吃，节日福利，零食下午茶
