skill,weight
Flutter,15
计算机/软件工程相关专业,11
功能开发,6
Kotlin,6
架构设计/优化,6
Native,6
Swift,5
Objective-C,5
研发流程优化,4
Android,4
C端产品,3
Appium,2
Hybrid开发,2
架构设计能力,2
混合开发经验,2
独立开发且上线经验,2
测试工程师,2
移动端,2
