skill,weight
短视频运营,67
公众号/朋友圈运营,43
后期剪辑,43
策划热点事件,32
专业拍摄,31
矩阵营销,27
社群运营经验,26
专业脚本,17
PS/AI,16
电商设计,14
新媒体运营,12
教育培训,11
公众号运营,10
团队管理经验,7
自媒体运营,6
时尚,6
旅游,4
美妆个护,4
电商文案,4
房地产/建筑,4
新媒体平台,4
新闻资讯,3
插画制作,2
媒介媒体,2
内容运营,2
运营专员,2
抖音,2
原创撰稿,2
小红书,2
