skill,weight
Vue,30
CSS,25
react,10
HTML,10
Web端,10
计算机/软件工程相关专业,6
JQuery,5
小程序,5
Node.js,4
ES6,4
PC端,3
技术博客/开源项目有所贡献,3
不接受居家办公,2
H5,2
