skill,weight
硬件开发经验,38
芯片/半导体/集成电路,26
智能硬件/可穿戴设备,23
电池/电源类产品,13
电路设计,9
PCB设计,8
硬件工程师,7
手机/电脑/通讯终端,7
机械设计制造相关专业,6
音视频/显示类产品,6
硬件测试,6
计算机/通信相关专业,3
电气工程师,3
电子元器件工程师,3
电子工程师,3
器件选型,3
Protel,3
EMC设计,2
示波器,2
Altium,2
Designer,2
Cadence,2
原理图设计,2
Layout工程师,2
