skill,weight
功能测试,56
性能测试,47
测试工作经验,24
压力测试,11
JMeter,8
软件测试,7
Postman,6
嵌入式测试,6
计算机相关专业,4
接口测试,4
系统测试,4
测试开发经验,3
Python,3
白盒测试,2
黑盒测试,2
Jira,2
Fiddler,2
Selenium,2
