skill,weight
计算机/信息安全相关专业,22
安全体系架构和研发,10
CISSP/CISP,10
HCIE,10
渗透测试经验,8
攻防对抗经验,7
CCIE,7
安全架构搭建经验,6
安全产品/平台开发经验,4
CISA,4
网络安全,4
网络规划设计,3
HCNA/HCNP,3
数据安全,3
PMP,2
网络设备,2
安全设备,2
信息安全认证,2
防火墙,2
运维通信资格证书,2
故障处理,2
CCNA证书,2
网络运维,2
安全运维,2
