skill,weight
TensorFlow/PyTorch,20
数据标注,14
全职工作,13
图片标注,12
标框标注,11
文本标注,10
区域标注,9
描点标注,9
自然语言处理算法,8
深度学习,8
数据分析能力强,7
标注数据分析,7
人工智能,7
Python,7
强化学习,6
分类标注,6
C/C++,6
大模型算法,5
语音标注,5
机器学习,5
算法工程化经验,4
搜索/推荐,4
标注方法优化,4
标注结果整理,4
视频标注,4
接受加班,4
语音/图像识别,3
图像算法,3
云计算经验,2
全职兼职均可,2
计算机相关专业,2
搜索算法,2
培训机构,2
线下教育,2
CNN/RNN/LSTM,2
兼职工作,2
图像识别经验,2
Caffe,2
不坐班,2
MATLAB,2
有国际期刊/会议论文发表,2
电话销售,2
销售经验,2
研究导向,2
音频,2
