skill,weight
Spark,28
Flink,23
数仓建设经验,22
Hive,21
ETL开发经验,17
KAFKA,10
HBase,10
NoSQL,7
计算机相关专业,6
数学/统计相关专业,5
Hadoop,5
Java,5
Python,4
Scala,3
数据仓库,3
大数据处理经验,2
Sqoop,2
Kettle,2
Shell,2
