skill,weight
系统运维,47
网络运维,19
运维经验,13
运维开发经验,10
实施交付运维,10
IDC机房运维,8
桌面运维,8
运维工程师,5
安全运维,4
Nginx,3
计算机相关专业,3
应用运维,3
大数据运维,2
