skill,weight
微服务架构,28
大数据平台架构经验,22
分布式技术,17
系统架构,9
容器技术,8
Java,7
技术管理,6
数据结构,6
多线程,5
消息队列,4
MongoDB,4
算法基础,3
负载均衡技术,3
架构师,3
Spring,3
服务器配置,3
MVC开发,2
搜索引擎技术,2
C语言,2
网络协议,2
C#,2
MQTT,2
多进程,2
SSM,2
网站架构,2
