skill,weight
交互设计,36
界面设计,36
视觉设计,34
平面设计,32
Eclipse,30
移动端,22
网页端,20
图标设计,20
客户端开发,18
原型设计,16
AI产品,15
动效设计,15
切图和标注,15
交互体验设计,9
AE,9
网页设计,6
游戏端,6
三维设计,6
U3D,5
Axure,5
广告设计,5
Sketch,5
欧美Q版,5
UI,5
手绘,4
PhotoShop,4
CDR,4
Xd,3
休闲益智,3
手机游戏,3
包装设计,3
美工,3
不接受居家办公,2
UE4,2
CorelDRAW,2
3DMax,2
C4d,2
横版,2
射击游戏,2
海报传单设计,2
企业/自有品牌,2
Spine,2
交互应用,2
画册设计,2
3ds,2
VI设计,2
FLASH,2
Unity,2
DW,2
