skill,weight
全栈项目经验,32
全栈无侧重,15
全栈侧重后端,12
PHP,8
Java,8
Node.js,7
全栈开发,7
TypeScript,6
Boot,6
全栈工程师,5
英语读写能力良好,4
Vue,4
.NET,3
react,3
CSS,3
HTML,3
Spring,2
Python,2
MySQL,2
