skill,weight
Spring,30
后端工程师,21
Java,21
MySQL,21
计算机/软件工程相关经验,13
Redis,11
MyBatis,10
分布式系统开发经验,8
后端开发,8
Oracle,5
NoSQL,4
全栈工程师,4
中大型项目架构设计经验,4
架构师,3
Dubbo,2
Maven,2
IDEA,2
软件工程师,2
Server,2
